Timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
 22/12/2015 4:30:00 PM,0,"124,3135",1,1,1,"251,9226","8,313446","312,7916",0,1,1,1,1,1,1,1,"2,560983","0,0002562214","138,5061",1,1,1,1,1,1,0,"169,2387",0,"133,8503",1,1,1,1,1,"7,44636","175,4166","260,7024","123,3145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100231",0,"3,3485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:01 PM,0,"124,392",1,1,1,"251,9226","8,313446","312,7916",0,1,1,1,1,1,1,1,"2,560983","0,0002562214","138,7465",1,1,1,1,1,1,0,"169,2387",0,"134,0041",1,1,1,1,1,"7,44636","175,4166","260,7024","123,3145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100231",0,"3,3485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:02 PM,0,"124,4705",1,1,1,"251,9226","8,313446","312,7916",0,1,1,1,1,1,1,1,"2,560983","0,0002562214","138,6263",1,1,1,1,1,1,0,"169,2387",0,"134,0041",1,1,1,1,1,"7,44636","175,4166","260,7024","123,3145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100231",0,"3,3485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:03 PM,0,"124,6668",1,1,1,"251,9226","8,313446","312,7916",0,1,1,1,1,1,1,1,"2,560983","0,0002562214","138,7064",1,1,1,1,1,1,0,"169,2387",0,"134,1195",1,1,1,1,1,"7,44636","175,4166","260,7024","123,3145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100231",0,"3,3485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:04 PM,0,"124,5098",1,1,1,"251,9226","8,313446","312,7916",0,1,1,1,1,1,1,1,"2,560983","0,0002562214","138,9067",1,1,1,1,1,1,0,"169,2387",0,"134,1964",1,1,1,1,1,"7,44636","175,4166","260,7024","123,3145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100231",0,"3,3485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:05 PM,0,"123,921",1,1,1,"251,9226","8,313446","312,7916",0,1,1,1,1,1,1,1,"2,560983","0,0002562214","138,5863",1,1,1,1,1,1,0,"169,2387",0,"134,4271",1,1,1,1,1,"7,44636","175,4166","260,7024","123,3145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100231",0,"3,3485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:06 PM,0,"123,5284",1,1,1,"251,9226","8,313446","312,7916",0,1,1,1,1,1,1,1,"2,560983","0,0002562214","138,7064",1,1,1,1,1,1,0,"169,2387",0,"134,3886",1,1,1,1,1,"7,44636","175,3909","260,7024","123,3145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100231",0,"3,3485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:07 PM,0,"123,4107",1,1,1,"251,9226","8,313446","312,7916",0,1,1,1,1,1,1,1,"2,560983","0,0002562214","138,5863",1,1,1,1,1,1,0,"169,2387",0,"134,4271",1,1,1,1,1,"7,44636","175,3909","260,7024","123,3145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100231",0,"3,3485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:08 PM,0,"123,2144",1,1,1,"251,9226","8,312805","312,7916",0,1,1,1,1,1,1,1,"2,560983","0,0002562214","138,7465",1,1,1,1,1,1,0,"169,2387",0,"134,0426",1,1,1,1,1,"7,44636","175,3909","260,7024","123,3145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100231",0,"3,3485","0,0002563035",1,1,1,Normal
 22/12/2015 4:30:09 PM,0,"123,3322",1,1,1,"251,9226","8,310242","312,7916",0,1,1,1,1,1,1,1,"2,560983","0,0002562214","138,6263",1,1,1,1,1,1,0,"169,2387",0,"133,7734",1,1,1,1,1,"7,44636","175,3909","260,7024","123,3145","0,001538067","0,001408992","0,001664373",0,1,1,"9,100231",0,"3,3485","0,0002563035",1,1,1,Normal
